business_id,name,address,city,state,postal_code,latitude,longitude,stars_x,review_count,is_open,attributes,categories,hours,review_id,user_id,stars_y,useful,funny,cool,text,date,text_processed,tokens,num_tokens,has_emoji
fApb6LKfOdy5u7MP0hsHKg,Kyoto,3232 State St,Santa Barbara,CA,93105.0,34.4406669,-119.7338492,3.5,260,1,"{'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'BYOBCorkage': ""'yes_free'"", 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'WiFi': ""u'free'"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'beer_and_wine'"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'RestaurantsTableService': 'True', 'HappyHour': 'True', 'OutdoorSeating': 'None', 'GoodForMeal': ""{u'breakfast': False, u'brunch': False, u'lunch': None, u'dinner': True, u'latenight': False, u'dessert': False}"", 'Ambience': ""{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': False, u'classy': False, u'upscale': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","Japanese, Restaurants, Sushi Bars, Vegetarian","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-21:30'}",SbecEtPb7QFKTpeHSGFKuw,6QzhajBXWcNRkPNXofZ1JA,3,0,0,0,Large group with reservations smashed into a small space. The sushi eating people enjoyed their sushi but the steak and chicken people were very disappointed. The steak was so tough teeth could not bite though it. And both chicken and steak were cold.,2017-01-29 04:45:04,large group with reservation smash into a small space the sushi eat people enjoy their sushi but the steak and chicken people be very disappointed the steak be so tough tooth could not bite though it and both chicken and steak be cold,"['large', 'group', 'reservation', 'smashed', 'small', 'space', 'sushi', 'eating', 'people', 'enjoyed', 'sushi', 'steak', 'chicken', 'people', 'disappointed', 'steak', 'tough', 'teeth', 'could', 'bite', 'though', 'chicken', 'steak', 'cold']",24,False
jssubXBNkiSJIhbKuDtmpQ,Sushi Teri House,1013 Bath St,Santa Barbara,CA,93101.0,34.4185472,-119.7059044,3.5,203,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'beer_and_wine'"", 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'no'"", 'Caters': 'False', 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}""}","Sushi Bars, Japanese, Restaurants","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}",5xgarcIa-vOdgqCaB2FGAw,kNxlninqmXRj7Hh0laNpjg,3,2,1,1,"Nothing special. I ordered take out (chicken teriyaki dinner) and my order was ready very promptly. However, when I got home my chicken was not cut up--it was just served in huge chunks. There was not enough sauce and the chicken itself seemed bland.

The saving grace is the California roll, which is very good. The imitation crab meat is quite tasty because it's not too sweet. Avocado is fresh as well.

Price is average for Santa Barbara (~$10-15/plate). Not sure I'll be back.",2016-09-28 00:51:37,nothing special I order take out teriyaki and my order be ready very promptly however when I get home my chicken be not cut be just serve in huge chunk there be not enough sauce and the chicken itself seem blandthe save grace be the california roll which be very good the imitation crab meat be quite tasty because not too sweet avocado be fresh as wellprice be average for santa barbara not sure be back,"['nothing', 'special', 'ordered', 'take', 'chicken', 'teriyaki', 'dinner', 'order', 'ready', 'promptly', 'however', 'got', 'home', 'chicken', 'cut', 'upit', 'served', 'huge', 'chunk', 'enough', 'sauce', 'chicken', 'seemed', 'bland', 'saving', 'grace', 'california', 'roll', 'good', 'imitation', 'crab', 'meat', 'quite', 'tasty', 'sweet', 'avocado', 'fresh', 'well', 'price', 'average', 'santa', 'barbara', '1015plate', 'sure', 'ill', 'back']",46,False
PMp5qwjkIC_2pmoM7K6mww,Little Rainbow Foot Spa,401 State St,Santa Barbara,CA,93101.0,34.4158315,-119.69448,3.5,74,1,"{'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'AcceptsInsurance': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Massage, Reflexology, Day Spas, Health & Medical, Beauty & Spas","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",iseScPFCiyj3_4nS3fcGFg,pR9ei_bXNQbusJowCAc36Q,5,2,1,1,"As I travel to Santa Barbara, I found that somehow it is tired to drive there and I would like to find a place to relax. And I found Little Rainbow Foot Spa there! A guy name Jimmy gave me an awesome massage and my tireness is gone like I just woke up from a 12 hr sleep! After the massage, the Chinese herbal medicine for the foot which is awesome that release the pain from the feet after driving! This awesome experience will make me to go back there again! Hope everyone else who has a serious pain or ""tiredness,"" go to Little Rainbow!",2013-08-10 23:44:39,as I travel to santa barbara I find that somehow it be tired to drive there and I would like to find a place to relax and I find little rainbow foot spa there a guy name jimmy give I an awesome massage and my tireness be go like I just wake up from a hr sleep after the massage the chinese herbal medicine for the foot which be awesome that release the pain from the foot after drive this awesome experience will make I to go back there again hope everyone else who have a serious pain or go to little rainbow,"['travel', 'santa', 'barbara', 'found', 'somehow', 'tired', 'drive', 'would', 'like', 'find', 'place', 'relax', 'found', 'little', 'rainbow', 'foot', 'spa', 'guy', 'name', 'jimmy', 'gave', 'awesome', 'massage', 'tireness', 'gone', 'like', 'woke', '12', 'hr', 'sleep', 'massage', 'chinese', 'herbal', 'medicine', 'foot', 'awesome', 'release', 'pain', 'foot', 'driving', 'awesome', 'experience', 'make', 'go', 'back', 'hope', 'everyone', 'else', 'serious', 'pain', 'tiredness', 'go', 'little', 'rainbow']",54,False
cwjjxu04J8Wxmq_cwdA3FQ,Carlyle Salon and Style Bar,"350 Chapala St, Ste 101",Santa Barbara,CA,93101.0,34.4149837,-119.6949107,4.5,173,1,"{'ByAppointmentOnly': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'WiFi': ""u'free'""}","Hair Salons, Hair Stylists, Cosmetics & Beauty Supply, Blow Dry/Out Services, Shopping, Makeup Artists, Beauty & Spas","{'Monday': '11:0-17:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-17:0'}",uko0FR8Ib6ZP2gcivPDRzA,XgKYCvyTi2wJKUU3Q0vtnw,5,0,0,0,"Had my hair done before going to a wedding and it came out fabulous! If you get a braid it ends up a little pricey, but you get a full wash and everything with the service.",2018-09-18 22:48:58,have my hair do before go to a wedding and it come out fabulous if you get a braid it end up a little pricey but you get a full wash and everything with the service,"['hair', 'done', 'going', 'wedding', 'came', 'fabulous', 'get', 'braid', 'end', 'little', 'pricey', 'get', 'full', 'wash', 'everything', 'service']",16,False
8cH7cLo6GV4BPWK1TK37Kw,Beauty Lounge By D,633 N Milpas St,Santa Barbara,CA,93103.0,34.4279098,-119.6878901,4.5,32,1,"{'WheelchairAccessible': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'True', 'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'False', 'BikeParking': 'False', 'HairSpecializesIn': ""{'straightperms': True, 'coloring': True, 'extensions': False, 'africanamerican': False, 'curly': True, 'kids': True, 'perms': True, 'asian': True}""}","Beauty & Spas, Hair Salons","{'Monday': '0:0-0:0', 'Thursday': '10:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0'}",inDCry0RTMMXdCvMupsHkw,FYKTjDubG_aLlJ-HdDjbOQ,1,1,2,0,"Writing a review again after having my last mysteriously deleted... i was calling out this Salon like it was. The owner Debbie is rude and disrespectful, like the common thug. This Salon should be renamed Salon B for Butchery, just looks like a slaughter house. Very plain white walls and DRY WALL DUST coating the edges of the floor, Very unlike the photos shown on yelp. I deleted this app because i started receiving hate messages for my scathing and honest review. Was even reached out by the store owner Debbie. Instead of trying to make my experience better or trying to make an angry customer happy, i was bombarded with choice words and serious child like attitude from all types of people including Debbie. Very un-lady like very unprofessional. NOT WORTH YOUR TIME, super high prices and super long wait times as well just to have your hair ""butchered"".",2019-04-26 13:38:08,write a review again after have my last mysteriously delete I be call out this salon like it be the owner debbie be rude and disrespectful like the common thug this salon should be rename salon b for butchery just look like a slaughter house very plain white wall and dry wall dust coat the edge of the floor very unlike the photo show on yelp I delete this app because I start receive hate message for my scathing and honest review be even reach out by the store owner debbie instead of try to make my experience well or try to make an angry customer happy I be bombard with choice word and serious child like attitude from all type of people include debbie very like very unprofessional not worth your time super high price and super long wait time as well just to have your hair,"['writing', 'review', 'last', 'mysteriously', 'deleted', 'calling', 'salon', 'like', 'owner', 'debbie', 'rude', 'disrespectful', 'like', 'common', 'thug', 'salon', 'renamed', 'salon', 'b', 'butchery', 'look', 'like', 'slaughter', 'house', 'plain', 'white', 'wall', 'dry', 'wall', 'dust', 'coating', 'edge', 'floor', 'unlike', 'photo', 'shown', 'yelp', 'deleted', 'app', 'started', 'receiving', 'hate', 'message', 'scathing', 'honest', 'review', 'even', 'reached', 'store', 'owner', 'debbie', 'instead', 'trying', 'make', 'experience', 'better', 'trying', 'make', 'angry', 'customer', 'happy', 'bombarded', 'choice', 'word', 'serious', 'child', 'like', 'attitude', 'type', 'people', 'including', 'debbie', 'unlady', 'like', 'unprofessional', 'worth', 'time', 'super', 'high', 'price', 'super', 'long', 'wait', 'time', 'well', 'hair', 'butchered']",87,False
19Gx6T0v_GZW2je2J_mqOg,Lily's Flowers and Fruity Florets,209 S Milpas St,Santa Barbara,CA,93103.0,34.4196404,-119.6757739931,3.5,42,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsTakeOut': 'None', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'None'}","Floral Designers, Specialty Food, Candy Stores, Flowers & Gifts, Shopping, Florists, Food, Event Planning & Services","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0'}",1WgULW19SsFzwLEIH406mQ,c6BxMTelojOQxMXqZKasJA,1,1,0,0,"I'm sad and angry to say that my father didn't have the flowers delivered to his funeral mass until too late.  Imagine how annoyed I was that the Lily's representative was not very concerned.  He came up with three different reasons why they were late and not one of them was acceptable.  I let him know that he should somehow compensate us for the fact that the flowers were not there.  After much back and forth, he said he could give me store credit.  Store credit???  I would never use them again to get the store credit.  I don't normally do reviews, however, if you need flowers for something as life changing as a funeral, save yourself the additional grief and use a more reputable, reliable, and caring company.",2018-06-27 18:27:43,sad and angry to say that my father have the flower deliver to his funeral mass until too late imagine how annoyed I be that the representative be not very concerned he come up with three different reason why they be late and not one of they be acceptable I let he know that he should somehow compensate we for the fact that the flower be not there after much back and forth he say he could give I store credit store credit I would never use they again to get the store credit I normally do review however if you need flower for something as life change as a funeral save yourself the additional grief and use a more reputable reliable and caring company,"['im', 'sad', 'angry', 'say', 'father', 'didnt', 'flower', 'delivered', 'funeral', 'mass', 'late', 'imagine', 'annoyed', 'lily', 'representative', 'concerned', 'came', 'three', 'different', 'reason', 'late', 'one', 'acceptable', 'let', 'know', 'somehow', 'compensate', 'u', 'fact', 'flower', 'much', 'back', 'forth', 'said', 'could', 'give', 'store', 'credit', 'store', 'credit', 'would', 'never', 'use', 'get', 'store', 'credit', 'dont', 'normally', 'review', 'however', 'need', 'flower', 'something', 'life', 'changing', 'funeral', 'save', 'additional', 'grief', 'use', 'reputable', 'reliable', 'caring', 'company']",64,False
Rl42JbSMsmNW3LRjsTMYAg,Freebirds,879 Embarcadero Del Norte,Isla Vista,CA,93117.0,34.4132668,-119.8556875,4.0,1270,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BYOBCorkage': ""'yes_free'"", 'Caters': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'Corkage': 'False', 'GoodForKids': 'True', 'Alcohol': ""'beer_and_wine'"", 'NoiseLevel': ""u'loud'"", 'RestaurantsTableService': 'False', 'WheelchairAccessible': 'True', 'Open24Hours': 'True', 'BYOB': 'False', 'DietaryRestrictions': ""{'dairy-free': False, 'gluten-free': False, 'vegan': True, 'kosher': False, 'halal': False, 'soy-free': False, 'vegetarian': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'RestaurantsCounterService': 'True', 'HappyHour': 'False', 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'DriveThru': 'None', 'RestaurantsTakeOut': 'None', 'OutdoorSeating': 'True'}","Salad, Restaurants, Tacos, Mexican, Breakfast & Brunch","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}",8SA4WMYKyMOHPDVBFf6PXw,q749TIqmrGx8PBa7wupe8Q,3,1,0,0,"This place is solid. The food is pretty good. Props for being open 24 hours and having refried beans as an option for beans to put in your burrito.

If you've never been here before, think Chipotle. But a dollar or two more expensive, better tortillas, and more authentic Mexican ingredients. The assembly line thing is the same.

The nachos my friend got that I sampled were pretty epic as well. 

No complaints, just a little pricey for my taste. That explains the 3. But definitely a place to hit up when in the Isla Vista area. Especially at 4 in the morning.",2010-08-12 05:29:28,this place be solid the food be pretty good prop for be open hour and have refrie bean as an option for bean to put in your burritoif never be here before think chipotle but a dollar or two more expensive well tortilla and more authentic mexican ingredient the assembly line thing be the samethe nachos my friend get that I sample be pretty epic as well no complaint just a little pricey for my taste that explain the but definitely a place to hit up when in the isla vista area especially at in the morning,"['place', 'solid', 'food', 'pretty', 'good', 'prop', 'open', '24', 'hour', 'refried', 'bean', 'option', 'bean', 'put', 'burrito', 'youve', 'never', 'think', 'chipotle', 'dollar', 'two', 'expensive', 'better', 'tortilla', 'authentic', 'mexican', 'ingredient', 'assembly', 'line', 'thing', 'nacho', 'friend', 'got', 'sampled', 'pretty', 'epic', 'well', 'complaint', 'little', 'pricey', 'taste', 'explains', '3', 'definitely', 'place', 'hit', 'isla', 'vista', 'area', 'especially', '4', 'morning']",52,False
YsyHm5VNYMCx1wpuTaATmw,Santa Barbara School of Mosaic Art,,Santa Barbara,CA,93110.0,34.5084312,-119.7310213,4.5,7,1,,"Education, Specialty Schools",,Sr_0oD4K9dK4YKcdDCAuvQ,glbF7wwlPfDscJeY6FsBqg,5,0,0,0,"I bought a groupon as a gift for myself to try something new. I attended the beginner's class this last weekend. I think I expected a more ""class-like"" environment and was happily surprised that the educational part was short, but very thorough, and we were encouraged to delve right in to our projects. All the necessary tools, tiles, samples, protective gear, and other materials were organized beautifully. The class was held outdoors in a covered patio area and the atmosphere was Santa Barbara casual and cool. There was lots of hands on learning, great suggestions, appropriate praise and some beautiful art was created in just 2 days! Tami, the instructor, was very down to earth and made sure she was available for each student but never ""hovered"", which would have made me uncomfortable. A wonderful, wonderful experience!",2013-04-25 17:07:33,I buy a groupon as a gift for myself to try something new I attend the class this last weekend I think I expect a more environment and be happily surprised that the educational part be short but very thorough and we be encourage to delve right in to our project all the necessary tool tile sample protective gear and other material be organize beautifully the class be hold outdoors in a cover patio area and the atmosphere be santa barbara casual and cool there be lot of hand on learn great suggestion appropriate praise and some beautiful art be create in just day tami the instructor be very down to earth and make sure she be available for each student but never which would have make I uncomfortable a wonderful wonderful experience,"['bought', 'groupon', 'gift', 'try', 'something', 'new', 'attended', 'beginner', 'class', 'last', 'weekend', 'think', 'expected', 'classlike', 'environment', 'happily', 'surprised', 'educational', 'part', 'short', 'thorough', 'encouraged', 'delve', 'right', 'project', 'necessary', 'tool', 'tile', 'sample', 'protective', 'gear', 'material', 'organized', 'beautifully', 'class', 'held', 'outdoors', 'covered', 'patio', 'area', 'atmosphere', 'santa', 'barbara', 'casual', 'cool', 'lot', 'hand', 'learning', 'great', 'suggestion', 'appropriate', 'praise', 'beautiful', 'art', 'created', '2', 'day', 'tami', 'instructor', 'earth', 'made', 'sure', 'available', 'student', 'never', 'hovered', 'would', 'made', 'uncomfortable', 'wonderful', 'wonderful', 'experience']",72,False
1HjHb1D52uo3XFeBBaA-JA,Comfort Zone Sleep Gallery,5708 Hollister Ave,Goleta,CA,93117.0,34.435936,-119.8232485,4.5,6,0,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '3', 'WheelchairAccessible': 'True'}","Home & Garden, Shopping, Home Decor, Home Services, Interior Design, Furniture Stores, Mattresses","{'Tuesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0'}",ax8lCJ0TafK43dluClpVXg,OJy2Qkr6uwiLupfK5aU4pA,5,1,0,0,"The trundle bed in our small guest bedroom took up too much space so we decided to replace it with a wall bed. We found a wide selection of wallbeds  at the Comfort Zone Sleep Gallery located at 5708 Hollister Avenue in Goleta.  The salesperson, Manuela, was extremely helpful and thorough. We ordered a wall bed and mattress for our guest bedroom. We got such good service that we ordered a replacement mattress for our master bedroom. 

The wallbed was custom manufactured and both the wallbed and mattresses were delivered and the old mattress was removed free of charge within just a few weeks of purchase.

The wallbed was expertly installed in just a couple of hours. We paid a little more and got a high quality wall bed with custom overhead lighting.

We love both the wallbed and the new mattresses . . .and we highly commend the company for their service.",2016-10-10 19:38:43,the trundle bed in our small guest bedroom take up too much space so we decide to replace it with a wall bed we find a wide selection of wallbed at the comfort zone sleep gallery locate at hollister avenue in goleta the salesperson manuela be extremely helpful and thorough we order a wall bed and mattress for our guest bedroom we get such good service that we order a replacement mattress for our master bedroom the wallbe be custom manufacture and both the wallbe and mattress be deliver and the old mattress be remove free of charge within just a few week of purchasethe wallbe be expertly instal in just a couple of hour we pay a little more and get a high quality wall bed with custom overhead lightingwe love both the wallbe and the new mattress and we highly commend the company for their service,"['trundle', 'bed', 'small', 'guest', 'bedroom', 'took', 'much', 'space', 'decided', 'replace', 'wall', 'bed', 'found', 'wide', 'selection', 'wallbeds', 'comfort', 'zone', 'sleep', 'gallery', 'located', '5708', 'hollister', 'avenue', 'goleta', 'salesperson', 'manuela', 'extremely', 'helpful', 'thorough', 'ordered', 'wall', 'bed', 'mattress', 'guest', 'bedroom', 'got', 'good', 'service', 'ordered', 'replacement', 'mattress', 'master', 'bedroom', 'wallbed', 'custom', 'manufactured', 'wallbed', 'mattress', 'delivered', 'old', 'mattress', 'removed', 'free', 'charge', 'within', 'week', 'purchase', 'wallbed', 'expertly', 'installed', 'couple', 'hour', 'paid', 'little', 'got', 'high', 'quality', 'wall', 'bed', 'custom', 'overhead', 'lighting', 'love', 'wallbed', 'new', 'mattress', 'highly', 'commend', 'company', 'service']",81,False
LuPK46HMxRYEVTXVbBCR1g,Sama Sama Kitchen,1208 State St,Santa Barbara,CA,93101.0,34.4237005,-119.7046377,4.0,477,1,"{'BikeParking': 'True', 'HasTV': 'False', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'False', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'BusinessAcceptsBitcoin': 'False', 'WiFi': ""u'free'"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'RestaurantsTakeOut': 'True', 'DogsAllowed': 'True', 'Corkage': 'True', 'ByAppointmentOnly': 'False', 'BYOB': 'True', 'WheelchairAccessible': 'True', 'Music': ""{u'dj': None, u'live': False, u'jukebox': None, u'video': False, u'background_music': False, u'karaoke': None, u'no_music': False}"", 'RestaurantsReservations': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTableService': 'True', 'GoodForDancing': 'False', 'RestaurantsDelivery': 'True', 'HappyHour': 'True', 'Smoking': ""u'no'"", 'CoatCheck': 'False', 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Cocktail Bars, Farmers Market, Tapas Bars, Food, Desserts, Nightlife, Asian Fusion, Restaurants, Tapas/Small Plates, Bars, Indonesian","{'Monday': '0:0-0:0', 'Tuesday': '17:0-20:0', 'Wednesday': '17:0-20:0', 'Thursday': '17:0-20:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0', 'Sunday': '17:0-20:0'}",ItilA3_IFDVw1sOngFnd2w,vdioUea83QYfcVpet3PELw,3,2,1,2,"Came here on a slower night. It has been on our list of places to try and we walk by all the time. Here was our experience. 

The atmosphere, service was very friendly they are clearly doing the best they can with what they've got. Not all of the propane heaters were on and some of them didn't work and other tables ended up moving a couple times around us. 

The food, we were told before ordering ""it's family style so probably order one to two entrees per person"" which seems counterintuitive to the phrase family style but maybe that's just me. Additionally the entrees are minimum about $18 which seems very expensive for needing two per person. We got the eggplant dish which was essentially a medium sized bowl of jimmy dean hot ground sausage over white rice with large sliced and slightly grilled in oil eggplant pieces... for $18... by no means was it bad in fact it is something I would probably make at home. That is the problem though, there was nothing interesting or special about and it is cheap ingredient food being charged at a fine dining price. 

With all this though, the food wasn't terrible, the service was friendly, why 3 stars? Well because at the end of feeling a little ripped off by a significantly overpriced cheap meal I get the bill to see that every check automatically includes a 20% gratuity. Now it's not that I didn't want to tip my server, it's the fact that they decided to basically just tac on 20% with little to no warning and some cheap excuse on the bottom of the receipt, it feels more like the owner of this restaurant is just money hungry. The margin on a small $18 bowl of white rice has to be huge.",2021-11-02 17:20:51,come here on a slow night it have be on our list of place to try and we walk by all the time here be our experience the atmosphere service be very friendly they be clearly do the good they can with what get not all of the propane heater be on and some of they work and other table end up move a couple time around we the food we be tell before order family style so probably order one to two entree per which seem counterintuitive to the phrase family style but maybe just I additionally the entree be minimum about which seem very expensive for need two per person we get the eggplant dish which be essentially a medium sized bowl of jimmy dean hot ground sausage over white rice with large sliced and slightly grill in oil eggplant piece for by no means be it bad in fact it be something I would probably make at home that be the problem though there be nothing interesting or special about and it be cheap ingredient food be charge at a fine dining price with all this though the food terrible the service be friendly why star well because at the end of feel a little rip off by a significantly overprice cheap meal I get the bill to see that every check automatically include a gratuity now not that I want to tip my server the fact that they decide to basically just tac on with little to no warning and some cheap excuse on the bottom of the receipt it feel more like the owner of this restaurant be just money hungry the margin on a small bowl of white rice have to be huge,"['came', 'slower', 'night', 'list', 'place', 'try', 'walk', 'time', 'experience', 'atmosphere', 'service', 'friendly', 'clearly', 'best', 'theyve', 'got', 'propane', 'heater', 'didnt', 'work', 'table', 'ended', 'moving', 'couple', 'time', 'around', 'u', 'food', 'told', 'ordering', 'family', 'style', 'probably', 'order', 'one', 'two', 'entree', 'per', 'person', 'seems', 'counterintuitive', 'phrase', 'family', 'style', 'maybe', 'thats', 'additionally', 'entree', 'minimum', '18', 'seems', 'expensive', 'needing', 'two', 'per', 'person', 'got', 'eggplant', 'dish', 'essentially', 'medium', 'sized', 'bowl', 'jimmy', 'dean', 'hot', 'ground', 'sausage', 'white', 'rice', 'large', 'sliced', 'slightly', 'grilled', 'oil', 'eggplant', 'piece', '18', 'mean', 'bad', 'fact', 'something', 'would', 'probably', 'make', 'home', 'problem', 'though', 'nothing', 'interesting', 'special', 'cheap', 'ingredient', 'food', 'charged', 'fine', 'dining', 'price', 'though', 'food', 'wasnt', 'terrible', 'service', 'friendly', '3', 'star', 'well', 'end', 'feeling', 'little', 'ripped', 'significantly', 'overpriced', 'cheap', 'meal', 'get', 'bill', 'see', 'every', 'check', 'automatically', 'includes', '20', 'gratuity', 'didnt', 'want', 'tip', 'server', 'fact', 'decided', 'basically', 'tac', '20', 'little', 'warning', 'cheap', 'excuse', 'bottom', 'receipt', 'feel', 'like', 'owner', 'restaurant', 'money', 'hungry', 'margin', 'small', '18', 'bowl', 'white', 'rice', 'huge']",152,False
