Name,Rating,Address,Price,ID,Reviews
Mike's Red Tacos,4.5,4310 Genesee Ave,$$,WoQJC9s_Hgj2IUXF7qQxqQ,"[{'Text': 'Shout out to Alejandro, Leticia and Alyssa for their customer service and the cook staff, food was amazing, and flavorful.  Definitely dont forget dessert,...', 'Rating': 5}, {'Text': ""Mikes Red Tacos was feature on Yelp's top 100 restaurants! \n\nIf you're looking for some gooood flavorful birria, stop looking and come here!!\n\nI ordered the..."", 'Rating': 5}, {'Text': 'Delicious birria tacos with cheese. The loaded fries were also very good and a really generous portion. Good salsa bar selection. Five stars for the...', 'Rating': 5}]"
Cocina 35,4.5,1435 6th Ave,$$,fMWoLTioV_ttwKX90bSL1Q,"[{'Text': 'I had visited 3 years ago during a visit to the classy SD. Was the first place I hit up when I came back for another visit. \n\nEnfrijoladas - A large...', 'Rating': 5}, {'Text': 'Absolutely love their Chilaquiles but been let down my past two visits. MAKE SURE TO CHECK YOUR BAG WHEN PICKING UP FOOD!!\n\nLast time I went, they forgot my...', 'Rating': 2}, {'Text': 'Overall the food was really good. I would recommend starting your waitlist on Yelp. When we arrived at the restaurant, there were 9 tables ahead of us to be...', 'Rating': 4}]"
La Puerta,4.0,560 4th Ave,$$,mzLGnmpwtrIgUeplJtmOOw,"[{'Text': 'Best chicken quesadilla and classic margaritas I ever had. Great atmosphere and music. 13/10 for rating', 'Rating': 5}, {'Text': ""Food was very good! Servers and very well maintained and kind! The ambiance of the place was perfect it's a downtown scene. It was packed and a wait time..."", 'Rating': 5}, {'Text': 'Came here prior to a concert at the Rady Shell and had a fantastic time. Wide open wooden door with string lights, high energy and great vibes (noise level...', 'Rating': 5}]"
Lolita's Mexican Food,4.0,7305 Clairemont Mesa Blvd,$,8gtS-ugNXvM90hZgqjIWiw,"[{'Text': ""It was our first time to Lolita's. Staff was great and friendly since we were trying to figure out the menu. Kudos to them being patient with us. \n\nIt's a..."", 'Rating': 5}, {'Text': ""I'll start with the positives. This place is clean, well organized and accessible. Kind of like a Chipotle. As for the food, I would not come back here..."", 'Rating': 1}, {'Text': ""I'd be giving this place 4 stars if I didn't come across a hard piece of Geisel in my burrito. This place gets slammed in the evening towards dinner time so..."", 'Rating': 3}]"
California Burritos,4.5,7754 Starling Dr,$,xsm2uqj58l8QTqHxRgbMHQ,"[{'Text': ""Breakfast burrito for 7 bucks!!!!!!!!!!!! It's bigger than my entire head. 10/10 . Yewwww"", 'Rating': 5}, {'Text': ""I've been here a few times now and they never fail to disappoint! I always get their California burrito with everything inside. This time was no different...."", 'Rating': 5}, {'Text': 'If you want some good mexican food this the place to try! \nThey have a really big menu and the food is delicious! \nIn my opinion, one thing that makes a...', 'Rating': 4}]"
Vallarta Express Mexican Eatery,4.0,4277 Genesee Ave,$,bCDi6bD9bCISqFZ3OyDbOg,"[{'Text': 'Two words: Christian fries. \n\nThe best fries! Absolutely LOADED with toppings!! Saying they are generous when it comes to toppings is an understatement -...', 'Rating': 5}, {'Text': ""Ummm..... so this wasn't what I ordered. I ordered  beef fajita taco. And I guess I got taquitos ? \n\nHonestly I was really looking forward to the taco cause..."", 'Rating': 1}, {'Text': ""Vallarta's christian fries are amazing. The inclusion of eggs and bacon on top of carne asada fries elevates the taste to a new level. Portion size is..."", 'Rating': 3}]"
King & Queen Cantina,4.5,1490 Kettner Blvd,$$,48IFYYRKXAlCn1JbCV3_bA,"[{'Text': 'Josh and Emmanuel are the best! Had a good time and even better drinks!', 'Rating': 5}, {'Text': '5 star drinks always a great experience, loud music perfect for before you go out to the club\n\nFood is mid and overpriced but average for the location...', 'Rating': 3}, {'Text': 'Manual did a great job it was my birthday and he made ordering easy. I would definitely come back for him.', 'Rating': 5}]"
Las Panchitas Fresh Mexican Grill,4.5,3542 Ashford St,$,B52EkpFK0GVtiJd17qokzA,"[{'Text': 'OMG definitely coming back here.\n\nI have never tried the mashed potato tacos which were so perfectly seasoned and tasted. I thought they would be greasy and...', 'Rating': 5}, {'Text': 'I came here for lunch and was so surprised that I have passed by this shopping center many times and had never tried this spot! They have tacos, burritos,...', 'Rating': 4}, {'Text': ""Call to confirm that they are open. Yelp has incorrect hours.  I arrived at 9am and they hadn't opened yet. I was about to call when one of the workers..."", 'Rating': 4}]"
Cafe Coyote,3.5,2461 San Diego Ave,$$,mTjKTc3SYz3ZmevLDUs7Lw,"[{'Text': 'Great, authentic Mexican food in the heart of old town. Cool vibes, great service and location. The Margarita flight was a great way to sample the many...', 'Rating': 5}, {'Text': 'Great food and great location! Our server Jesus Villegas went above and beyond to ensure we enjoyed our food and experience at this San Diego staple! Would...', 'Rating': 5}, {'Text': 'Never disappointed. Every single time I have visited, since 2012 or so, it has been great food great service and overall a great time. The hand made flour...', 'Rating': 5}]"
Rigoberto's Taco Shop,4.0,7094 Miramar Rd,$,1xNYUQqnSKcQPxN-sApuIQ,"[{'Text': ""I'm working construction in the area for the time being and needed a go to spot that's open no later than 6am.\nI ordered a machaca breakfast burrito.\nIt was..."", 'Rating': 5}, {'Text': ""This place was sooo good. I have to say that if you sell tacos and you're open 24 hours, that means you're doing something right. I went here four days in a..."", 'Rating': 5}, {'Text': ""They're open 24hrs! That automatically gives them atleast 3 stars! We ordered the Tacos and Carne Asada fries, pretty good!  They have a salsa/condiment bar..."", 'Rating': 5}]"
