business_id,name,category,rating,price,address,latitude,longitude,reviews
6EizP0XyqITuGZ8GZMI9Lw,Toma Restaurant & Bar,"['Bars', 'Italian']",4.5,$$$,"324 West Cabrillo Blvd Santa Barbara, CA 93101",34.408633,-119.693496,"[""My husband and I spent almost a week in Santa Barbara hitting up all the restaurants we've been wanting to go to. We got married so it was a special..."", ""10 out of 10 Fantastic!!! \nHad to come out to try Toma since it's been 5 years since my last visit! And I can confidently tell you- I was blown away! \n\nMy..."", 'Went here for date night on a Saturday evening with 5:00 pm reservations. We were immediately greeted and seated at our table; our waiter provided us with...']"
tthy48ZIX_wfY8Dy0Dvg6w,Bouchon,"['French', 'American (New)', 'Seafood']",4.5,$$$,"9 W Victoria St Santa Barbara, CA 93101",34.423983,-119.70586,"[""Seriously, for a special occasion, Bouchon can't be beat. I still sometimes think on that goat cheese tart that we had. Amazinggggg. Will say that the first..."", 'Visiting Santa Barbara for the day from Los Angeles so we really wanted a nice dinner before heading back home. We are both really happy that we chose...', 'Great restaurant.\n\nWe came on Christmas Dinner. The food is amazing and the waiter is very professional.\n\nThe lamb rack is perfectly cooked.\nThe duck breast...']"
yPSejq3_erxo9zdVYTBnZA,Los Agaves,"['Tacos', 'Bars']",4.5,$$,"600 N Milpas St Santa Barbara, CA 93101",34.42753,-119.68657,"['Great food! One of the best tacos I ever had. Also great ambiance and staff. 6/5 planning to return soon!!', 'We used this Mexican restaurant as a meeting spot to pick up our new foster puppy from my bestie is SoCal. We met up with her mom, my two godbabies (her two...', 'Came here for lunch on a Saturday afternoon while in Santa Barbara. The atmosphere here is fun with a beautiful bar. Of course, the  food was delicious!\n\nI...']"
KSYONgGtrK0nKXfroB-bwg,Loquita,"['Spanish', 'Tapas Bars', 'Seafood']",4.5,$$$,"202 State St Santa Barbara, CA 93101",34.4142041114972,-119.69164357986425,"[""We had a great experience here for a girls night out dinner! I love Spanish tapas and the options/ambiance definitely didn't disappoint. We shared a seafood..."", 'We chose to do dinner here after a few friends (who previously lived in SB) highly recommended it.\n\nThe big hits of the night were the croquetas, crudo,...', '9.5/10\n\nExcellent food. The only slightly disappointing thing were the sangrias which had too much ice and tasted watered down as a result. \n\nJamon tasting...']"
U3grYFIeu6RgAAQgdriHww,Brophy Bros - Santa Barbara,['Seafood'],4.0,$$,"119 Harbor Way Santa Barbara, CA 93109",34.403477837581,-119.693639601282,"['Fresh seafood! Friendly service. Definitely would return sometime soon. Bring cash for tips if possible.  Servers work hard for your smiles.', ""Amazing food and service. A little tight around the tables but that's just a minor inconvenience compared to the view, food and quick service."", 'It is my go to on my way to the airport.  Great food, service, views and ok on the wallet!']"
skY6r8WAkYqpV7_TxNm23w,Boathouse at Hendry's Beach,"['Seafood', 'Breakfast & Brunch', 'American (New)']",4.0,$$,"2981 Cliff Dr Santa Barbara, CA 93109",34.4032573847658,-119.743751854596,"['So, the view was stunning, make absolutely no mistake. Great location for a restaurant. But the food was pretty mediocre. The crab cakes were good, but the...', 'Went here with the family today for a chill Easter dinner. We got there at about 4:30. The wait was literally only 20 mins & we were seated inside. The...', ""GREAT FOOD, AMAZING VIEWS..SOME MINOR ISSUES THOUGH:\n\nConfession:  I come to Arroyo Burro Beach (AKA:  Hendry's Beach) because it is literally the happiest...""]"
3Wy21heeDm8h2tSZfcj6OA,Lure Fish House,"['Seafood', 'Cocktail Bars', 'Wine Bars']",4.5,$$,"3815 State St Ste G131 Santa Barbara, CA 93105",34.4388492800292,-119.748164295684,"['This place is delicious !!! Came here after reading the great reviews. I have had their king salmon, crispy calamari, clam chowder , crab cakes, and fish...', ""This review is solely for the service, as the food was phenomenal.\n\nThe wait for food took forever for a slow lunch day. There wasn't a lot of people when..."", ""I'm going with the five stars for a  variety of reasons. The food was good. The service was attentive. And the prices for reasonable and I was actually...""]"
zbrIMldF_O1ZQ0vpUaaa8A,Bluewater Grill - Santa Barbara,"['Seafood', 'Bars', 'American (New)']",4.0,$$$,"15 East Cabrillo Blvd Santa Barbara, CA 93101",34.412758,-119.688965,"['My wife and some friends had lunch at the Bluewater Grill in Santa Barbara and the food was absolutely fantastic! The service was great as well and we had a...', 'Yes totally recommend this place ! We are from LA and went to Santa Barbara for a getaway to celebrate my girlfriends bday.after a long walk and a couple...', ""I wasn't really impressed with this place.  I ordered the crab artichoke dip and a hot lobster roll. The dip wasn't to bad, but I didn't care for the...""]"
-FM4CxOg4XXmX_Ebky_SiQ,Finch & Fork,"['American (New)', 'Breakfast & Brunch', 'Bars']",4.0,$$,"31 W Carrillo St Santa Barbara, CA 93101",34.420701,-119.7025009,"['(Overall: 96% | A) - The restaurant is located in a beautiful hotel paired with high quality food. I think the service was a bit inattentive, but otherwise...', 'I dined at Finch & Fork for brunch and was blown away by the Short Rib & Sweet Potato Hash. The meat was so tender that it melted in my mouth, and the sweet...', 'Still really good and great service from Jamie\n\nNot a huge menu but everything on it is good.']"
EZc2myE2mYk2h9JK9qu8gw,Finney's Crafthouse - Santa Barbara,"['Cocktail Bars', 'American (New)', 'Burgers']",4.5,$$,"35 State St Ste A Santa Barbara, CA 93101",34.41263,-119.69044,"['We had actually walked by loquita on a Sunday night, where it was going to be a 45 minute wait...\n\nCame here for dinner without reservations and they put us...', 'We got seated fairly quickly, our server was nice, and we got 3 dishes.\nNashville Hot Chicken Sliders 9/10: There were 3 in the order and they were...', 'An excellent lunch. \n\nWe were in town and riding our bikes, decided to stop in. Because we had our dog with us we needed something dog friendly. They were...']"
